isbn,title,author,year
9780316066340,The Girls,Lori Lansens,2005
9780385336000,Voyager,Diana Gabaldon,1993
9780751554150,I Let You Go,Clare Mackintosh,2016
9781439164630,Left Neglected,Lisa Genova,2011
9780670038310,Sovereign ,C.J. Sansom,2006
9780752848270,The Next Accident,Lisa Gardner,2001
9781582349910,The Goose Girl,Shannon Hale,2003
9780312359670,Raven Black,Ann Cleeves,2006
9780140273340,The Eagle Has Landed,Jack Higgins,1975
9781400069620,Delicious!,Ruth Reichl,2014
9780241144140, NW ,Zadie Smith,2012
9780679723060,What We Talk About When We Talk About Love: Stories,Raymond Carver,1981
9780425197390,The Mediterranean Caper,Clive Cussler,1973
9780446690450,The Poet,Michael Connelly,1996
9780060590290,You Suck ,Christopher Moore,2007
9780553266310,The Day of the Jackal,Frederick Forsyth,1971
9780345479720,Woken Furies,Richard K. Morgan,2005
9780515124220,Inner Harbor (Chesapeake Bay Saga #3),Nora Roberts,1998
9780451474700,Saint Anything,Sarah Dessen,2015
9781400097040,Arthur & George,Julian Barnes,2005
9780812541620,The Sum of All Men,David Farland,1998
9780595440090,Still Alice,Lisa Genova,2007
9780451458930,Summer Knight,Jim Butcher,2002
9780345419640,The Tale of the Body Thief,Anne Rice,1992
9780316017920,Outliers: The Story of Success,Malcolm Gladwell,2008
9780061579040,The Family Fang,Kevin    Wilson,2011
9780439672470,Icefire,Chris d'Lacey,2003
9780345476880,The Vampire Lestat,Anne Rice,1985
9780689868240,Tithe: A Modern Faerie Tale ,Holly Black,2002
9780812576400,"Faith of the Fallen  (Sword of Truth, #6)",Terry Goodkind,2000
9781741662090,Erak's Ransom,John Flanagan,2007
9780061449180,Light,Michael  Grant,2013
9781492622470,This Is Where It Ends,Marieke Nijkamp,2016
9780545027890,Wonderstruck,Brian Selznick,2011
9780316910330,Gossip Girl,Cecily von Ziegesar,2002
9781593072940,Sin City: A Dame to Kill For,Frank Miller,1993
9780060959680,The Dancing Wu Li Masters: An Overview of the New Physics,Gary Zukav,1979
9780394800160,Green Eggs and Ham,Dr. Seuss,1960
9780553805480,Garden Spells,Sarah Addison Allen,2007
9780671027320,Every Dead Thing,John Connolly,1999
9780061701240,Ten Things We Did (and Probably Shouldn't Have) ,Sarah Mlynowski,2011
9780374275630,"Thinking, Fast and Slow",Daniel Kahneman,2011
9780007120700,Hercule Poirot's Christmas,Agatha Christie,1938
9781477808700,Wayward,Blake Crouch,2013
9780751532720,"Rich Dad , Poor Dad",Robert T. Kiyosaki,1997
9780060519600,"Blue Noon (Midnighters, #3)",Scott Westerfeld,2006
9780515128550,Heart of the Sea,Nora Roberts,2000
9780451199870,A Pocket Full of Rye,Agatha Christie,1953
9780723247340,The Complete Adventures of Peter Rabbit,Beatrix Potter,1982
9780553380960,The Diamond Age,Neal Stephenson,1995
9780375814240,The Wonderful Story Of Henry Sugar And Six More,Roald Dahl,1977
9781563898690,Batman: Dark Victory,"Jeph Loeb, Tim Sale",2000
9780553807170,Never Look Away,Linwood Barclay,2010
9781934137190,Tinkers,Paul Harding,2008
9780553233700,Emily of New Moon,L.M. Montgomery,1923
9781451665600,Mile 81,Stephen King,2011
9780393318680,Filth,Irvine Welsh,1998
9780586203190,2061: Odyssey Three,Arthur C. Clarke,1987
9781595143200,The Fiery Heart,Richelle Mead,2013
9780451213200,Just One Look,Harlan Coben,2004
9780446354680,Memories of Midnight,Sidney Sheldon,1990
9780143036660,March,Geraldine Brooks,2004
9780804188980,What Do You Do?,Gillian Flynn,2014
9780670018860,The Likeness,Tana French,2008
9780375703060,Ellen Foster,Kaye Gibbons,1987
9780525422430,The Chronicles of Vladimir Tod: Eleventh Grade Burns,Heather Brewer,2010
9780425162450,The Rapture of Canaan,Sheri Reynolds,1995
9780307021530,The Little Red Caboose (Little Golden Book),Marian Potter,1953
9781250066630,The Revenant,Michael Punke,2002
9780743454550,Vanishing Acts,Jodi Picoult,2005
9780393324860,Naked Economics: Undressing the Dismal Science,Charles Wheelan,2002
9780439014570,The Adventures of Captain Underpants,Dav Pilkey,1997
9781423121300,Lost In Time,Melissa de la Cruz,2011
9780316043960,The Broken Kingdoms,N.K. Jemisin,2010
9780060744570,Dawn,Erin Hunter,2005
9780451475500,Eeny Meeny,M.J. Arlidge,2014
9780307267670,Blue Nights,Joan Didion,2011
9780743451800,Devil in a Blue Dress,Walter Mosley,1990
9780955944680,Percy Jackson and the Sword of Hades,Rick Riordan,2009
9780061779850,Desires of the Dead,Kimberly Derting,2011
